"p","structure","solver","start","tol_found","run_id","time","f_end","gap","success"
100,"line","pcglasso","C",1e-04,6,4.827,53.3323565118295,9.80519345716857e-07,TRUE
100,"line","pcglasso","C",1e-04,7,10.544,53.3323565118295,9.80519345716857e-07,TRUE
100,"line","pcglasso","C",1e-04,8,7.276,53.3323565118295,9.80519345716857e-07,TRUE
100,"line","pcglasso","C",1e-04,9,2.218,53.3323565118295,9.80519345716857e-07,TRUE
100,"line","pcglasso","C",1e-04,10,4.736,53.3323565118295,9.80519345716857e-07,TRUE
150,"hub","pcglasso","C",0.001,1,48.614,46.0643004217211,5.02476611501379e-05,TRUE
150,"hub","pcglasso","C",0.001,2,54.487,46.0643004217211,5.02476611501379e-05,TRUE
150,"hub","pcglasso","C",0.001,3,56.774,46.0643004217211,5.02476611501379e-05,TRUE
150,"hub","pcglasso","C",0.001,4,52.629,46.0643004217211,5.02476611501379e-05,TRUE
150,"hub","pcglasso","C",0.001,5,45.056,46.0643004217211,5.02476611501379e-05,TRUE
150,"hub","pcglasso","C",0.001,6,53.06,46.0643004217211,5.02476611501379e-05,TRUE
150,"hub","pcglasso","C",0.001,7,47.213,46.0643004217211,5.02476611501379e-05,TRUE
150,"hub","pcglasso","C",0.001,8,43.371,46.0643004217211,5.02476611501379e-05,TRUE
150,"hub","pcglasso","C",0.001,9,56.603,46.0643004217211,5.02476611501379e-05,TRUE
150,"hub","pcglasso","C",0.001,10,40.56,46.0643004217211,5.02476611501379e-05,TRUE
150,"line","pcglasso","C",1e-04,1,11.476,83.9376474741862,7.16313086002174e-06,TRUE
150,"line","pcglasso","C",1e-04,2,6.596,83.9376474741862,7.16313086002174e-06,TRUE
150,"line","pcglasso","C",1e-04,3,5.263,83.9376474741862,7.16313086002174e-06,TRUE
150,"line","pcglasso","C",1e-04,4,10.13,83.9376474741862,7.16313086002174e-06,TRUE
150,"line","pcglasso","C",1e-04,5,6.33199999999999,83.9376474741862,7.16313086002174e-06,TRUE
150,"line","pcglasso","C",1e-04,6,2.027,83.9376474741862,7.16313086002174e-06,TRUE
150,"line","pcglasso","C",1e-04,7,13.252,83.9376474741862,7.16313086002174e-06,TRUE
150,"line","pcglasso","C",1e-04,8,9.512,83.9376474741862,7.16313086002174e-06,TRUE
150,"line","pcglasso","C",1e-04,9,5.819,83.9376474741862,7.16313086002174e-06,TRUE
150,"line","pcglasso","C",1e-04,10,9.99,83.9376474741862,7.16313086002174e-06,TRUE
10,"hub","pcglasso_cpp","I",1e-05,1,0.864000000000004,2.47833987158951,2.23423425791403e-05,TRUE
10,"hub","pcglasso_cpp","I",1e-05,2,2.607,2.47833987158951,2.23423425791403e-05,TRUE
10,"hub","pcglasso_cpp","I",1e-05,3,0.333999999999996,2.47833987158951,2.23423425791403e-05,TRUE
10,"hub","pcglasso_cpp","I",1e-05,4,0.250999999999998,2.47833987158951,2.23423425791403e-05,TRUE
10,"hub","pcglasso_cpp","I",1e-05,5,0.238,2.47833987158951,2.23423425791403e-05,TRUE
10,"hub","pcglasso_cpp","I",1e-05,6,0.393000000000001,2.47833987158951,2.23423425791403e-05,TRUE
10,"hub","pcglasso_cpp","I",1e-05,7,0.378,2.47833987158951,2.23423425791403e-05,TRUE
