p,cor_modifier,lambda,alpha,K_structure,solver,starting_point,tolerance,time_trimmed_mean,f_end
10,0.8,0.2,0,line,pcglasso,C,2.310129700083161e-4,0.007999999999981355,6.52463541224422
10,0.8,0.2,0,line,pcglasso,C,8.11130830789687e-4,0.007499999999993179,6.52463979259271
10,0.8,0.2,0,line,pcglasso,C,0.002848035868435802,0.006500000000016826,6.5246707021695265
10,0.8,0.2,0,line,pcglasso,C,0.010000000000000004,0.005999999999971806,6.524726739292347
10,0.8,0.2,0,line,pcglasso,I,9.999999999999982e-9,0.04549999999997567,6.524634785764328
10,0.8,0.2,0,line,pcglasso,I,3.5111917342151263e-8,0.04199999999997317,6.524634785764346
10,0.8,0.2,0,line,pcglasso,I,1.2328467394420646e-7,0.03499999999999659,6.52463478576569
10,0.8,0.2,0,line,pcglasso,I,4.328761281083054e-7,0.04050000000000864,6.524634785765809
10,0.8,0.2,0,line,pcglasso,I,1.5199110829529328e-6,0.028500000000008185,6.524634785790327
10,0.8,0.2,0,line,pcglasso,I,5.336699231206308e-6,0.020000000000010232,6.524634793231705
10,0.8,0.2,0,line,pcglasso,I,1.873817422860384e-5,0.01500000000001478,6.5246347962951186
10,0.8,0.2,0,line,pcglasso,I,6.579332246575681e-5,0.013499999999993406,6.524634892082127
10,0.8,0.2,0,line,pcglasso,I,2.310129700083161e-4,0.016000000000019554,6.524636597251117
10,0.8,0.2,0,line,pcglasso,I,8.11130830789687e-4,0.00950000000003115,6.524645765158649
10,0.8,0.2,0,line,pcglasso,I,0.002848035868435802,0.014000000000010004,6.524670477718316
10,0.8,0.2,0,line,pcglasso,I,0.010000000000000004,0.006499999999988404,6.52501175404938
10,0.8,0.2,0,line,pcglasso_cpp,C,9.999999999999982e-9,0.0075000000000216005,6.524634799508095
10,0.8,0.2,0,line,pcglasso_cpp,C,3.5111917342151263e-8,0.012000000000000455,6.524634822568881
10,0.8,0.2,0,line,pcglasso_cpp,C,1.2328467394420646e-7,0.006500000000016826,6.524634955633784
10,0.8,0.2,0,line,pcglasso_cpp,C,4.328761281083054e-7,0.006000000000000227,6.524635212197628
10,0.8,0.2,0,line,pcglasso_cpp,C,1.5199110829529328e-6,0.005000000000023874,6.524636535151713
10,0.8,0.2,0,line,pcglasso_cpp,C,5.336699231206308e-6,0.0049999999999954525,6.524642326872155
10,0.8,0.2,0,line,pcglasso_cpp,C,1.873817422860384e-5,0.004499999999978854,6.524654193192221
10,0.8,0.2,0,line,pcglasso_cpp,C,6.579332246575681e-5,0.004000000000019099,6.524716766126301
10,0.8,0.2,0,line,pcglasso_cpp,C,2.310129700083161e-4,0.002999999999985903,6.524974403056187
10,0.8,0.2,0,line,pcglasso_cpp,C,8.11130830789687e-4,0.0024999999999977263,6.525524705946509
10,0.8,0.2,0,line,pcglasso_cpp,C,0.002848035868435802,0.0020000000000095497,6.5271230332868
10,0.8,0.2,0,line,pcglasso_cpp,C,0.010000000000000004,0.001999999999981128,6.529132464948173
10,0.8,0.2,0,line,pcglasso_cpp,I,9.999999999999982e-9,0.006499999999988404,6.524634797525339
10,0.8,0.2,0,line,pcglasso_cpp,I,3.5111917342151263e-8,0.005499999999983629,6.524634836645078
10,0.8,0.2,0,line,pcglasso_cpp,I,1.2328467394420646e-7,0.005499999999983629,6.524634920707033
