p,lambda,alpha,K_structure,solver,starting_point,tolerance,m,status,time,f_end,error
200,0.1,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,89.309,111.2095159841412,NA
200,0.1,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,86.106,111.2095159841412,NA
10,0.2,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.0040000000000048885,7.115407841126354,NA
10,0.2,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.005000000000002558,7.115407841126354,NA
50,0.2,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.0660000000000025,30.12068851832615,NA
50,0.2,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.06099999999999994,30.12068851832615,NA
100,0.2,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.18599999999999994,55.97386060840045,NA
100,0.2,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.19299999999999784,55.97386060840045,NA
150,0.2,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.7659999999999982,79.34843435845818,NA
150,0.2,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,1.1480000000000032,79.34843435845818,NA
200,0.2,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,2.158999999999999,114.00991764395579,NA
200,0.2,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,2.1499999999999986,114.00991764395579,NA
10,0.1,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.005000000000002558,5.839467055701565,NA
10,0.1,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.006000000000000227,5.839467055701565,NA
50,0.1,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.02099999999999369,44.0763905327086,NA
50,0.1,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.021000000000000796,44.0763905327086,NA
100,0.1,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.0519999999999996,95.12218575116125,NA
100,0.1,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.04299999999999926,95.12218575116125,NA
150,0.1,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.09199999999999875,145.89829506864123,NA
150,0.1,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.09199999999999875,145.89829506864123,NA
200,0.1,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.36299999999999955,196.98515673567377,NA
200,0.1,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.41199999999999903,196.98515673567377,NA
10,0.2,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.0049999999999954525,6.655436749677062,NA
10,0.2,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.005000000000002558,6.655436749677062,NA
50,0.2,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.009000000000000341,47.78173531519928,NA
50,0.2,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.00999999999999801,47.78173531519928,NA
100,0.2,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.06799999999999784,98.5893717810936,NA
100,0.2,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.06400000000000006,98.5893717810936,NA
150,0.2,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.07000000000000028,148.96085648917386,NA
150,0.2,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.06400000000000006,148.96085648917386,NA
200,0.2,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.16400000000000148,199.6619313494168,NA
200,0.2,0,hub_09,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.16500000000000625,199.6619313494168,NA
10,0.1,0.5,hub_09,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.0049999999999954525,7.503986075835266,NA
10,0.1,0.5,hub_09,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.005000000000002558,7.503986075835266,NA
50,0.1,0.5,hub_09,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.011000000000002785,41.78208798707219,NA
50,0.1,0.5,hub_09,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.00999999999999801,41.78208798707219,NA
100,0.1,0.5,hub_09,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.02499999999999858,84.39572418146658,NA
